Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
Nanoparticle triggered autophagic cell death,WP2509,Homo sapiens,05 Nov 2018,"AOP, Nanomaterials","nanomaterial response pathway, regulatory pathway",,
Nanoparticle triggered regulated necrosis,WP2513,Homo sapiens,28 Aug 2021,"AOP, Nanomaterials","nanomaterial response pathway, necrosis pathway, regulatory pathway",,
Nanoparticle-mediated activation of receptor signaling,WP2643,Homo sapiens,28 May 2020,"AOP, Nanomaterials","signaling pathway, nanomaterial response pathway, regulatory pathway",,
Neolacto series sphingolipid metabolism,WP5302,Homo sapiens,14 Feb 2023,,"glycosphingolipid metabolic pathway, lipid metabolic pathway, classic metabolic pathway",,
Neovascularisation processes,WP4331,Homo sapiens,25 Oct 2019,,"cardiovascular system homeostasis pathway, regulatory pathway",,"endothelial cell, native cell"
Nephrogenesis,WP5052,Homo sapiens,01 Jun 2021,RareDiseases,"Notch signaling pathway, signaling pathway","kidney disease, CAKUT",
Nephrotic syndrome,WP4758,Homo sapiens,04 Dec 2019,"Diseases, Renal_Genomics",,kidney disease,"glomerular visceral epithelial cell, animal cell"
Netrin-UNC5B signaling pathway,WP4747,Homo sapiens,22 Apr 2023,,"cancer pathway, disease pathway","cancer, disease of cellular proliferation",
Network map of SARS-CoV-2 signaling pathway,WP5115,Homo sapiens,28 Jun 2023,COVID19,"disease pathway, respiratory system disease pathway","severe acute respiratory syndrome, disease by infectious agent",
Neural crest cell migration during development,WP4564,Homo sapiens,22 May 2021,,"signaling pathway, brain-derived neurotrophic factor signaling pathway",,"migratory neural crest cell, native cell"
Neural crest cell migration in cancer,WP4565,Homo sapiens,22 May 2021,CPTAC,"signaling pathway, brain-derived neurotrophic factor signaling pathway, cancer pathway, disease pathway","neuroblastoma, cancer, disease of cellular proliferation","migratory neural crest cell, native cell"
Neural crest development,WP548,Danio rerio,29 Jan 2014,,"signaling pathway pertinent to development, signaling pathway",,
Neural crest differentiation,WP2064,Homo sapiens,18 May 2021,,regulatory pathway,,"neural crest derived neuron, migratory cranial neural crest cell, animal cell, native cell"
Neural crest differentiation,WP2074,Mus musculus,23 May 2021,,regulatory pathway,,"migratory cranial neural crest cell, neural crest derived neuron, native cell, animal cell"
Neural crest differentiation,WP3273,Bos taurus,21 May 2021,,regulatory pathway,,"migratory cranial neural crest cell, neural crest derived neuron, native cell, animal cell"
Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway,WP4577,Homo sapiens,27 May 2021,RareDiseases,disease pathway,"neurodegeneration with brain iron accumulation, central nervous system disease","neuron, animal cell"
Neurogenesis regulation in the olfactory epithelium,WP5265,Homo sapiens,14 Feb 2023,,"regulatory pathway, regulatory pathway pertinent to the brain, Notch signaling pathway, signaling pathway","olfactory neuroblastoma, disease of cellular proliferation",
Neuroinflammation,WP4919,Homo sapiens,18 Jan 2023,,"stress response pathway, regulatory pathway pertinent to the brain, regulatory pathway",,
Neuroinflammation and glutamatergic signaling,WP5083,Homo sapiens,30 Nov 2021,,"signaling pathway pertinent to the brain and nervous system, neuropsychiatric disease pathway, signaling pathway pertinent to immunity, signaling pathway, disease pathway",,"microglial cell, neuron, astrocyte, animal cell"
Neurotransmitter clearance in synaptic cleft,WP3165,Bos taurus,21 May 2021,,"signaling pathway pertinent to the brain and nervous system, signaling pathway",,
Neurotransmitter disorders,WP4220,Homo sapiens,09 Nov 2023,"Diseases, IEM, RareDiseases","neurotransmitter metabolic pathway, epinephrine metabolic pathway, dopamine beta-hydroxylase deficiency pathway, dopamine degradation pathway, tryptophan metabolic pathway, tryptophan degradation pathway, tyrosine metabolic pathway, Segawa syndrome pathway, aromatic L-amino acid decarboxylase deficiency pathway, tyrosine degradation pathway, epinephrine degradation pathway, dopamine biosynthetic pathway, dopamine metabolic pathway, serotonin metabolic pathway, epinephrine biosynthetic pathway, serotonin biosynthetic pathway, classic metabolic pathway, disease pathway","dystonia, Parkinsonism, dopamine beta-hydroxylase deficiency, aromatic L-amino acid decarboxylase deficiency, Brunner Syndrome, central nervous system disease, genetic disease",
Neurotransmitter release cycle,WP3192,Bos taurus,21 May 2021,,"signaling pathway, signaling pathway pertinent to the brain and nervous system",,
Neurotransmitter release in cholinergic motor neurons,WP1401,Caenorhabditis elegans,24 Feb 2016,,"neuron-to-neuron signaling pathway via the chemical synapse, signaling pathway",,
Nicotine activity on chromaffin cells,WP3255,Bos taurus,21 May 2021,,"nicotine drug pathway, drug pathway",,"chromaffin cell, native cell"
Nicotine activity on dopaminergic neurons,WP3179,Bos taurus,21 May 2021,,"nicotine drug pathway, drug pathway",,"dopaminergic neuron, native cell"
Nicotine effect on chromaffin cells,WP1603,Homo sapiens,12 Jun 2023,,"nicotine drug pathway, drug pathway",,"chromaffin cell, native cell"
Nicotine effect on dopaminergic neurons,WP1602,Homo sapiens,25 Apr 2023,,"nicotine drug pathway, drug pathway",,"dopaminergic neuron, native cell"
Nicotine metabolism,WP3185,Bos taurus,21 May 2021,,"nicotine drug pathway, drug pathway",,"hepatocyte, native cell"
Nicotine metabolism in liver cells,WP1600,Homo sapiens,08 Jul 2021,,"nicotine drug pathway, drug pathway, xenobiotic metabolic pathway, classic metabolic pathway",,"hepatocyte, native cell"
Nitric oxide metabolism in cystic fibrosis,WP4947,Homo sapiens,24 May 2021,RareDiseases,"disease pathway, nitric oxide mediated signaling pathway, signaling pathway","cystic fibrosis, genetic disease",
Nod-like receptor (NLR) signaling pathway,WP1032,Bos taurus,16 May 2021,,"NOD-like receptor signaling pathway, signaling pathway",,
Nod-like receptor (NLR) signaling pathway,WP1256,Mus musculus,16 May 2021,,"NOD-like receptor signaling pathway, signaling pathway",,
Nod-like receptor (NLR) signaling pathway,WP1294,Rattus norvegicus,16 May 2021,,"NOD-like receptor signaling pathway, signaling pathway",,
Nod-like receptor (NLR) signaling pathway,WP288,Homo sapiens,18 Jan 2023,,"NOD-like receptor signaling pathway, signaling pathway",,
Nod-like receptor (NLR) signaling pathway,WP799,Gallus gallus,21 Jul 2021,,"signaling pathway, signaling pathway pertinent to immunity",,
Nod-like receptor (NLR) signaling pathway,WP914,Pan troglodytes,16 May 2021,,"signaling pathway, signaling pathway pertinent to immunity",,
Nodal signaling pathway,WP341,Danio rerio,28 May 2021,,"Nodal signaling pathway, signaling pathway",,
Non-canonical Wnt pathway,WP215,Danio rerio,15 May 2021,,"Wnt signaling, non-canonical pathway, signaling pathway",,
Non-classical role of vitamin D,WP5133,Homo sapiens,20 Feb 2022,COVID19,"vitamin D signaling pathway, vitamin D metabolic pathway, signaling pathway, classic metabolic pathway","hypertension, diabetes mellitus, COVID-19, cardiovascular system disease, disease of metabolism, disease by infectious agent",
"Non-genomic actions of 1,25 dihydroxyvitamin D3",WP4341,Homo sapiens,17 Sep 2019,,"vitamin D signaling pathway, signaling pathway",,
Non-homologous end joining,WP1242,Mus musculus,08 Jul 2013,,"non-homologous end joining pathway of double-strand break repair, regulatory pathway",,
Non-homologous end joining,WP1277,Rattus norvegicus,08 Jul 2013,,"non-homologous end joining pathway of double-strand break repair, regulatory pathway",,
Non-homologous end joining,WP438,Homo sapiens,14 Nov 2023,"CPTAC, PancCanNet","non-homologous end joining pathway of double-strand break repair, DNA repair pathway, regulatory pathway",,
Non-homologous end joining,WP979,Bos taurus,30 Jun 2015,,"non-homologous end joining pathway of double-strand break repair, regulatory pathway",,
Non-small cell lung cancer,WP4255,Homo sapiens,24 Oct 2023,"CPTAC, Diseases","lung cancer pathway, disease pathway, cancer pathway","lung cancer, disease of cellular proliferation","bronchial epithelial cell, animal cell"
Nonalcoholic fatty liver disease,WP4396,Homo sapiens,16 Oct 2018,Diseases,"disease pathway, liver disease pathway","non-alcoholic fatty liver disease, genetic disease","hepatocyte, native cell"
Notch signaling,WP268,Homo sapiens,23 Apr 2023,"CPTAC, PancCanNet","Notch signaling pathway, signaling pathway",,
Notch signaling in vulval development,WP2220,Caenorhabditis elegans,27 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP1029,Bos taurus,21 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP1064,Bos taurus,21 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP1148,Canis familiaris,21 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP1232,Anopheles gambiae,18 May 2022,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP208,Drosophila melanogaster,16 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP29,Mus musculus,18 May 2022,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP517,Rattus norvegicus,16 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP61,Homo sapiens,18 Apr 2023,CPTAC,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP798,Gallus gallus,19 May 2021,,"Notch signaling pathway, signaling pathway",,
Notch signaling pathway,WP912,Pan troglodytes,21 May 2021,,"Notch signaling pathway, signaling pathway",,
Novel Jun-Dmp1 pathway,WP3654,Mus musculus,11 May 2021,,"cell cycle pathway, mitotic, Ras superfamily mediated signaling pathway, regulatory pathway, signaling pathway",,
Novel intracellular components of RIG-I-like receptor pathway,WP3865,Homo sapiens,05 Sep 2019,,"signaling pathway, signaling pathway in the innate immune response","viral infectious disease, disease by infectious agent",
Nuclear Receptors,WP509,Mus musculus,06 Oct 2016,,"transcription factor mediated signaling pathway, signaling pathway",,
"Nuclear factor, erythroid-derived 2, like 2 signaling pathway",WP2376,Rattus norvegicus,24 Feb 2023,,"nuclear factor, erythroid 2 like 2 signaling pathway, regulatory pathway",,
Nuclear receptors,WP1068,Bos taurus,21 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors,WP1184,Canis familiaris,21 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors,WP170,Homo sapiens,07 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors,WP217,Rattus norvegicus,16 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors,WP831,Gallus gallus,19 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors,WP950,Pan troglodytes,21 May 2021,,"transcription factor mediated signaling pathway, signaling pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP1099,Canis familiaris,17 Sep 2019,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP1326,Danio rerio,17 Sep 2019,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP139,Rattus norvegicus,17 Sep 2019,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP299,Homo sapiens,21 Apr 2023,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP431,Mus musculus,17 Sep 2019,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP755,Gallus gallus,18 Mar 2020,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP863,Pan troglodytes,18 Mar 2020,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors in lipid metabolism and toxicity,WP981,Bos taurus,21 May 2021,,"lipid metabolic pathway, classic metabolic pathway",,
Nuclear receptors meta-pathway,WP2882,Homo sapiens,12 Jun 2023,,"transcription factor mediated signaling pathway, regulatory pathway, signaling pathway",,
Nucleotide GPCRs,WP1042,Bos taurus,01 Feb 2022,,"G protein mediated signaling pathway, signaling pathway",,
Nucleotide GPCRs,WP207,Mus musculus,17 Sep 2019,,"G protein mediated signaling pathway, signaling pathway",,
Nucleotide GPCRs,WP502,Rattus norvegicus,25 Oct 2013,,"G protein mediated signaling pathway, signaling pathway",,
Nucleotide GPCRs,WP80,Homo sapiens,17 Apr 2023,,"G protein mediated signaling pathway, signaling pathway",,
Nucleotide excision repair,WP4753,Homo sapiens,14 Nov 2023,CPTAC,"nucleotide excision repair pathway, DNA repair pathway, regulatory pathway",,
Nucleotide excision repair in xeroderma pigmentosum,WP5114,Homo sapiens,19 Jun 2021,RareDiseases,"nucleotide excision repair pathway, DNA repair pathway, regulatory pathway","xeroderma pigmentosum, genetic disease",
Nucleotide metabolism,WP146,Rattus norvegicus,16 May 2021,,"purine metabolic pathway, classic metabolic pathway",,
Nucleotide metabolism,WP321,Saccharomyces cerevisiae,20 May 2021,,"purine metabolic pathway, classic metabolic pathway",,
Nucleotide metabolism,WP3211,Bos taurus,21 May 2021,,"purine metabolic pathway, classic metabolic pathway",,
Nucleotide-binding oligomerization domain (NOD) pathway,WP1433,Homo sapiens,21 Apr 2023,,"NOD-like receptor signaling pathway, signaling pathway",,
Nutrient control of ribosomal gene expression,WP2869,Saccharomyces cerevisiae,17 Jun 2020,SGD_Approved,"regulatory pathway, signaling pathway",,
OSX and miRNAs in tooth development,WP3971,Homo sapiens,22 May 2021,ExRNA,"signaling pathway pertinent to development, signaling pathway",,"cementoblast, odontoblast, native cell, animal cell"
Octadecanoid formation from linoleic acid,WP5324,Homo sapiens,01 May 2023,Lipids,"lipid metabolic pathway, lipid signaling pathway, linoleic acid metabolic pathway, classic metabolic pathway, signaling pathway",,
Octane oxidation,WP552,Saccharomyces cerevisiae,11 Jul 2013,,"octane oxidation pathway, classic metabolic pathway",,
"Oligodendrocyte specification and differentiation, leading to myelin components for CNS",WP4304,Homo sapiens,22 Jun 2021,,,,"glial cell, oligodendrocyte, myelin accumulating cell, oligodendrocyte precursor cell, animal cell, native cell"
Omega-3 / omega-6 fatty acid synthesis,WP4350,Mus musculus,18 Jan 2023,Lipids,"fatty acid omega degradation pathway, fatty acid elongation pathway, unsaturated fatty acid biosynthetic pathway, fatty acid metabolic pathway, classic metabolic pathway",,
Omega-3 / omega-6 fatty acid synthesis,WP4723,Homo sapiens,18 Jan 2023,Lipids,"fatty acid elongation pathway, amino acid metabolic pathway, unsaturated fatty acid biosynthetic pathway, fatty acid metabolic pathway, fatty acid omega degradation pathway, classic metabolic pathway",,
Omega-9 fatty acid synthesis,WP4351,Mus musculus,12 Apr 2023,Lipids,"fatty acid metabolic pathway, fatty acid elongation pathway, unsaturated fatty acid biosynthetic pathway, classic metabolic pathway",,
Omega-9 fatty acid synthesis,WP4724,Homo sapiens,18 Jan 2023,Lipids,"fatty acid elongation pathway, fatty acid metabolic pathway, unsaturated fatty acid biosynthetic pathway, classic metabolic pathway",,
